t,ur,ui,ir,ii,omega
13.7,0.7458624004393893,-0.6283788382436014,-0.9630705134862295,1.0383627893527838,-1.612924438499952
13.8,0.6400762073885146,-0.73481448935937,-0.7758068830769757,1.1112041254597744,-1.5407970701969886
13.9,0.5201581369461299,-0.8190432993869098,-0.5414221772623301,1.1034709245145256,-1.5078572159469161
14.0,0.3890451280262394,-0.886373600658503,-0.33180586464253775,1.0355952079382749,-1.5221531962811574
14.1,0.24655611065691102,-0.9356054097505717,-0.22836819286381593,0.9492748407979135,-1.5593211495745884
14.2,0.09970133229741246,-0.9590347656806312,-0.08318155606622218,0.9594980182812016,-1.540797392404778
14.3,-0.05087505749568949,-0.9644323899861712,0.08363529779950041,0.8413728718242899,-1.562904145548587
14.4,-0.20246814760680737,-0.9447480524230081,0.13763314149260253,0.796374428042079,-1.5841328922966014
14.5,-0.3473085344644213,-0.8992388515179255,0.32642765928574946,0.7848397922668925,-1.5745954114915195
14.6,-0.4831043361220756,-0.8357191957178975,0.4692915465192347,0.7232125966637737,-1.555632550568733
14.7,-0.6113157385744928,-0.750655433053397,0.5966762177144519,0.6287437374438878,-1.5930697600430666
14.8,-0.7216899929706497,-0.6438417702511167,0.6855233232357373,0.5965592772418895,-1.589004700159431
14.9,-0.8143643334195233,-0.5237168630848343,0.8107716443456553,0.46365329539097244,-1.5694177661019415
15.0,-0.8868086019134743,-0.38983913302562395,0.9299335549671887,0.30920326891608446,-1.573386903556635
15.1,-0.9345946192175077,-0.2445627299921545,0.9941806195327798,0.17962869947308863,-1.5823083819128847
15.2,-0.9644802018245251,-0.09585218929735034,1.022513552283599,0.034014849064661234,-1.5688208636129009
15.3,-0.9668894039228895,0.055700774459785496,1.0312679434624954,-0.15989626381812483,-1.5660157283023102
15.4,-0.948068789977632,0.20761760715768562,0.9844463653666923,-0.29561610500718566,-1.5804213608382334
15.5,-0.9028426288010631,0.35584153722023737,0.9418906583178447,-0.411328099869562,-1.5985306043452763
15.6,-0.8347072579794735,0.48716146760130913,0.8661174982834743,-0.5995344296728778,-1.5285709075178877
15.7,-0.7511244737007008,0.613815917567646,0.7220133872512121,-0.7382736210617231,-1.5684180993254504
15.8,-0.643734693674648,0.7231290642045881,0.6325189271486669,-0.7874797520595165,-1.582793242273044
15.9,-0.5236652449589131,0.8118133923439141,0.4832181305392037,-0.8649552843990569,-1.544863697458081
16.0,-0.39125738506615754,0.8882295647870335,0.3384481829046613,-0.939873858904332,-1.5797351848026153
16.1,-0.24587890352692465,0.9365956731241654,0.14407075409190967,-0.9465117554460991,-1.5818755781546923
16.2,-0.09973584986771539,0.9633161003064167,0.0230582588972138,-0.9474176747162735,-1.535645423657801
16.3,0.05571830949680129,0.9679412361323767,-0.0796087460569258,-0.9542933072991985,-1.6066657870541334
16.4,0.20588962621978935,0.9448365229364922,-0.2501157317621766,-0.9137655490268559,-1.5705594468590078
16.5,0.3492140633273681,0.9044421136688263,-0.4435185850050068,-0.8318999907931917,-1.539188919617196
16.6,0.48721795172181415,0.838030339541918,-0.5452602334879104,-0.8163441136749492,-1.5814414044941305
16.7,0.6176616277462422,0.7546038841534258,-0.6663260518845276,-0.7152870715126916,-1.5931538170953274
16.8,0.7278400050387038,0.6466382031560548,-0.8315089884902307,-0.591455264466829,-1.5847321394892688
16.9,0.8151888107285984,0.5267012993187263,-0.8884638425771643,-0.43559464184499186,-1.5275303825013609
17.0,0.8883812027497475,0.3916209344981173,-0.8922642498874217,-0.3337614533935751,-1.5843731410920103
17.1,0.9366590424505,0.24613501116111652,-1.0027854381389147,-0.216251454839958,-1.5822811398698633
17.2,0.9626487163376372,0.09802150671064469,-0.9849996167114239,0.020654498861229997,-1.5549496039430988
17.3,0.9689465199403835,-0.053542933307327845,-0.9453663264037122,0.12349254580662178,-1.5667782285269638
17.4,0.94551972390629,-0.20609701045688988,-0.9509482818278796,0.26057693215470046,-1.5941252213477863
17.5,0.9017578908016511,-0.3503009752163937,-0.9032736579660029,0.433552427885927,-1.5590734859912203
17.6,0.8385531007817908,-0.486234865669798,-0.7949122652723575,0.5933445824896353,-1.54948767459274
17.7,0.7477906883425595,-0.6132744835304486,-0.7199043830221972,0.7155232720755695,-1.6141509711110569
17.8,0.6470236431083501,-0.7227060716616722,-0.6002277913975034,0.8019831600307393,-1.5370907897381958
17.9,0.5238922440466413,-0.8156268863456784,-0.4833179079867489,0.878235001320529,-1.5924448206737285
18.0,0.3909755681702196,-0.886711791183692,-0.33645896116111357,0.9172845248753425,-1.5567263073820747
18.1,0.24604796031892534,-0.9372105923357628,-0.2004645861011239,0.9443212765244517,-1.5854517111804967
18.2,0.09848102757920696,-0.961973834258883,-0.04258786781524948,0.9849366083043256,-1.5471994930930677
18.3,-0.05355275507329477,-0.9667111621180418,0.14177428953444116,0.9734942621441975,-1.5735879529839814
18.4,-0.20506826564539354,-0.9469438456003694,0.26879105450352303,0.9185016478087376,-1.5792455752587742
18.5,-0.348860536299048,-0.9023122189943362,0.4086620203733721,0.8991997655223403,-1.5566238089025397
18.6,-0.48630404531915605,-0.8388604999411584,0.5834899814495855,0.8201116195348984,-1.5644687698648418
18.7,-0.6134813702241916,-0.749378393610933,0.7050049792098808,0.6950237668406842,-1.606379840073231
18.8,-0.7222213935173625,-0.6451239954921755,0.7565497637196951,0.6065379532834925,-1.557111638491424
18.9,-0.8162336596586401,-0.5238698593241244,0.8403877093507567,0.48817999713748683,-1.5847434071869948
19.0,-0.886818959300113,-0.3886014437417202,0.9561228800780712,0.3145883242564369,-1.5760338524148665
19.1,-0.9338668713129976,-0.2487476970576512,0.9790237650447153,0.15745190597724912,-1.526763693651958
19.2,-0.9590646103571518,-0.09960373010451423,0.9929008365065105,0.054985259268399755,-1.5683489293667918
19.3,-0.9659863929711499,0.048950813366041124,0.9747773593128386,-0.13264948388679965,-1.541152115090938
19.4,-0.9434586425130609,0.20408484643721997,0.9678035837968828,-0.2995510573994363,-1.624021924391581
19.5,-0.9004380805214298,0.34698617563036593,0.8960320337400612,-0.4422156567487699,-1.5478259084836488
19.6,-0.8384929194229181,0.48469173940914484,0.8138730461748849,-0.5306142685911296,-1.5630831774446996
19.7,-0.749654103720387,0.6118832961742013,0.7262652218534034,-0.7220964927333738,-1.6042950545010903
19.8,-0.6462064552244613,0.7209922503218567,0.5873628744095167,-0.8124072755219462,-1.5548999301361022
19.9,-0.5255433662171397,0.8151234133099379,0.4867313094369584,-0.8363375598285716,-1.5808338543633482
20.0,-0.3914052978019366,0.8850810565471623,0.31933141391906444,-0.9369580370677832,-1.5629945424287683
20.1,-0.24773827775369395,0.9351488244617734,0.1773798925768874,-0.9858916978663944,-1.5740013226963434
20.2,-0.09866300466650546,0.962025946400012,0.024991379213142095,-1.0043504360694384,-1.5676941683926238
20.3,0.05256691855946555,0.9649005028073098,-0.1302240917105013,-1.0156522037255116,-1.566255198796398
20.4,0.2030712731811462,0.9481731038846152,-0.2747170785369729,-0.8962926231544808,-1.565584385946437
20.5,0.3497849269448575,0.9032540899803878,-0.3865041317679333,-0.8976401518728405,-1.5848295278037483
20.6,0.4848566122164388,0.83519646989802,-0.5673237789107237,-0.8232404849167444,-1.565135976494041
20.7,0.6123016180612717,0.751697994010103,-0.6737402213345042,-0.7082769706873727,-1.5757465689231154
20.8,0.7193676201275674,0.6455033126070483,-0.7910624830824703,-0.5957387812497698,-1.5590863362579022
20.9,0.8116840212199468,0.5268387480233077,-0.879041069480422,-0.4481361865636462,-1.5561244345452785
21.0,0.8865584977216088,0.38997957046088905,-0.9180798546641435,-0.3325935380436733,-1.613137572486707
21.1,0.9333835361118452,0.24944024768722362,-0.9620807495477943,-0.17937463684672322,-1.5326612404500572
21.2,0.9638884971160271,0.10042469616501104,-1.003994566346325,0.004402578669083335,-1.5732791439070049
21.3,0.9681681403409874,-0.054502624051963044,-0.9639052057571365,0.16326984485978163,-1.600477328524601
21.4,0.9450020159748773,-0.2032081886843828,-0.9502830579362818,0.2458349626522013,-1.5557405905212285
21.5,0.9049099101991206,-0.3503403235397312,-0.9225164914741546,0.40050357517298163,-1.5757493487118879
21.6,0.8361028002258843,-0.48495487156803546,-0.8485446490274873,0.6129329652428833,-1.562132145159083
